时间 - 曲线 0	幅值 - 曲线 0
-49.1	0.2
-40	0.6
-29.6	1.1
-18.1	1.7
-6.1	2.4
5.3	3.3
16.7	4.5
27	5.9
36.1	7.5
43.8	9.4
50.4	11.4
56.3	13.2
60.6	14.6
63.7	15.5
64.1	15.8
61.5	15.8
55.6	15.6
47.4	15.3
37.8	14.9
27	14.4
15.4	13.7
3.6	13
-8.2	12
-19.2	10.8
-29.3	9.3
-37.9	7.6
-45.2	5.7
-51.8	3.8
-56.6	2
-60.6	0.8
-62.7	0
-62.2	-0.2
-58.5	-0.1
-51.7	0.1
-43.3	0.4
-33.1	0.9
-22.2	1.4
-10.5	2.1
1.5	3
13	4
23.8	5.3
33.3	6.9
41.4	8.8
48.5	10.7
54.4	12.6
59.1	14.2
62.9	15.2
64.2	15.7
62.8	15.8
57.6	15.7
50.3	15.4
41.3	15.1
30.7	14.6
19.4	14
7.6	13.3
-4.4	12.4
-15.6	11.2
-25.9	9.9
-35.1	8.2
-42.8	6.4
-49.4	4.4
-54.9	2.6
-59.4	1.2
-62.2	0.2
-62.7	-0.1
-60.1	-0.1
-54.3	0
-46.2	0.3
-36.8	0.7
-26	1.2
-14.4	1.9
-2.5	2.7
9.5	3.7
20.3	4.9
30	6.4
38.8	8.1
46.2	10.1
52.4	12
57.8	13.7
61.9	15
64.2	15.7
63.7	15.9
59.9	15.8
53.2	15.5
44.5	15.2
34.2	14.8
23.3	14.3
11.5	13.6
-0.4	12.7
-12	11.7
-22.7	10.4
-32.3	8.8
-40.3	7
-47.3	5.1
-53.1	3.2
-58	1.6
-61.4	0.5
-62.5	-0.1
-61.5	-0.2
-56.5	-0.1
