反射光和折射光光强不同&&&&&&&
折射光(Lux) &831&1078&1756&2790&&&
反射光(Lux) &1075&1395&2310&3670&&&
&&&&&&&
测量光敏电阻&&&&&&&
串联电阻实际阻值（欧姆）&981.3&&&&&&
&&&&&&&
光照强度(Lux) &2500&&&&&&
电源电压(V) &2.0030&4.003&6.002&7.005&8.008&10.004&12.000
电阻两端电压(V) &0.3641&0.7288&1.0958&1.2809&1.4665&1.8372&2.2107
&&&&&&&
光照强度(Lux) &5000&&&&&&
电源电压(V) &2.0028&4.000&6.009&7.0007&8.003&10.005&12.007
电阻两端电压(V) &0.5054&1.0083&1.5192&1.7731&2.0271&2.5400&3.0558
&&&&&&&
&&&&&&&
光照强度(Lux) &7500&&&&&&
电源电压(V) &2.007&4.000&6.007&7.006&8.000&10.001&12.000
电阻两端电压(V) &0.5995&1.9963&1.8001&2.1010&2.4011&3.0077&3.6160
&&&&&&&
&&&&&&&
光照强度(Lux) &1003&&&&&&
电源电压(V) &2.002&4.002&6.002&7.002&8.000&10.009&12.005
电阻两端电压(V) &0.2211&0.4438&0.6678&0.7803&0.8928&1.1203&1.3470
&&&&&&&
光敏电阻两端电压(V) &2&&&&&&
光照强度(Lux) &509&1002&1501&2000&2500&3000&
电源电压(V) &2.160&2.253&2.324&2.386&2.448&2.499&
电阻两端电压(V) &1.5823&0.2488&0.3224&0.3866&0.4450&0.4970&
&&&&&&&
光敏电阻两端电压(V) &4&&&&&&
光照强度(Lux) &509&997&1503&2000&2500&3000&
电源电压(V) &4.316&4.499&4.652&4.775&4.887&4.999&
电阻两端电压(V) &0.3173&0.4965&0.6474&0.7768&0.8900&0.9963&
&&&&&&&
光敏电阻两端电压(V) &6&&&&&&
光照强度(Lux) &509&1007&1498&2000&2500&3000&
电源电压(V) &6.476&6.752&6.973&7.166&7.338&7.502&
电阻两端电压(V) &0.4786&0.7531&0.9734&1.1696&1.3401&1.5013&
&&&&&&&
光敏电阻两端电压(V) &8&&&&&&
光照强度(Lux) &504&1001&1501&2000&2500&3000&
电源电压(V) &8.625&8.999&9.303&9.559&9.801&10.011&
电阻两端电压(V) &0.6342&1.0016&1.3004&1.5637&1.7975&2.0095&
&&&&&&&
光敏电阻两端电压(V) &10&&&&&&
光照强度(Lux) &504&1001&1499&2000&2500&3000&
电源电压(V) &10.804&11.256&11.627&11.956&12.254&12.510&
电阻两端电压(V) &0.7987&1.2554&1.6288&1.9584&2.2483&2.5132&
&&&&&&&
测量光电二极管&&&&&&&
串联电阻实际阻值（兆欧）&1.002&&&&&&
&&&&&&&
光照强度(Lux) &506&&&&&&
电源电压(V) &0.6561&1.0113&2.0054&4.167&6.533&9.025&12.322
电阻两端电压(mV) &135.23&135.81&137.00&138.14&138.85&140.000&140.30
&&&&&&&
光照强度(Lux) &1008&&&&&&
电源电压(V) &0.6044&1.0094&2.011&4.127&6.554&9.273&12.325
电阻两端电压(mV) &244.45&265.03&268.52&270.53&271.90&273.30&274.58
&&&&&&&
光照强度(Lux) &2000&&&&&&
电源电压(V) &0.6558&1.0215&2.093&4.117&6.552&9.219&12.312
电阻两端电压(V) &0.5319&0.5403&0.5460&0.5507&0.5532&0.5562&0.5587
&&&&&&&
光照强度(Lux) &3000&&&&&&
电源电压(V) &0.8612&1.0227&2.032&4.124&6.534&9.201&12.314
电阻两端电压(V) &0.7940&0.7965&0.8048&0.8120&0.8166&0.8204&0.8240
&&&&&&&
反偏压(V) &2&&&&&&
光照强度(Lux) &504&1008&1503&2000&2500&3000&
电源电压(V) &2.136&2.271&2.405&2.540&2.674&2.800&
电阻两端电压(V) &0.137&0.271&0.405&0.540&0.674&0.804&
&&&&&&&
反偏压(V) &4&&&&&&
光照强度(Lux) &497&1008&1498&2000&2500&3000&
电源电压(V) &4.138&4.274&4.406&4.544&4.684&4.807&
