时间 - 曲线 0	幅值 - 曲线 0
-125.8	0.1
-116.7	0.3
-103.5	0.7
-86.8	1.2
-67.3	1.9
-45.7	2.9
-23	4.2
-0.4	6
21.2	8.5
40.2	11.9
56.1	15.9
71.3	20.1
87.6	24.2
105.3	27.9
121.5	30
130.1	30.7
131	30.8
125.7	30.7
114.9	30.4
100.3	30
82.6	29.4
62	28.7
40.1	27.6
17.2	26.2
-5.3	24.2
-26.3	21.5
-44.1	17.9
-59.4	13.8
-74.8	9.6
-91.2	5.6
-108.2	2.3
-122.7	0.6
-129.2	0
-127.7	0
-120.2	0.2
-108.3	0.5
-92.7	1
-74	1.6
-53	2.5
-30.5	3.7
-7.8	5.3
14.2	7.5
34.3	10.6
50.9	14.6
66	18.8
82	22.9
99.2	26.8
116.6	29.5
128.5	30.6
131.9	30.9
127.7	30.8
118.8	30.6
105.5	30.2
88.8	29.7
69.3	29
47.6	28
24.9	26.7
2.2	25
-19.4	22.6
-38.7	19.3
-54.5	15.3
-69.8	11.1
-85.5	6.9
-102.7	3.1
-118.9	0.9
-127.9	0
-129.2	-0.2
-123.3	0
-112.7	0.2
-98.3	0.6
-80.8	1.1
-60.2	1.9
-38.2	3
-15.5	4.5
7	6.5
27.9	9.2
45.7	12.9
60.9	17
76.6	21.2
93.3	25.2
110.8	28.4
125.7	30
131.4	30.5
129.8	30.5
122.2	30.3
110.4	30
94.7	29.6
76.2	29
55.1	28.1
32.7	27
10	25.4
-12.6	23.2
-32.6	20.2
-49.4	16.3
-64.4	12.1
-80.1	8
-96.8	4
-113.5	1.2
-125.7	0
-129.5	-0.4
